Time;Gaze.X;GazeY;SubjectID;Snippet;Indentation;TrialNumber
5220953,081;1302,04686351236;578,35162264972;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5220968,134;1282,71513968603;584,752799407426;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5220981,5426;1265,67791428679;586,489951583027;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221013,1409;1255,77844915975;588,73189098636;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221026,3734;1257,98272959736;595,395211226492;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221042,5595;1259,54481402558;597,283914574606;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221057,609;1259,52916817999;597,144824837286;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221071,1459;1257,1484253906;598,440946652315;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221087,953;1245,33418939869;597,508748467518;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221101,9168;1257,37038816288;568,091280206418;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221117,7277;1260,93403003796;561,699599171365;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221132,4174;1250,93324605476;554,618543403713;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221162,3393;1256,9897719269;539,590224801461;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221177,9709;1256,48780958966;539,256802855341;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221193,3318;1251,16249271081;542,69906176221;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221206,518;1250,78146973844;543,605145462018;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221223,3208;1249,90805574134;544,076766035352;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221238,0805;1258,49498191842;554,875664379349;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221251,3597;1259,79366583342;556,18870410247;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221269,7518;1260,39704383939;560,315753278427;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221289,6938;1263,9854250333;573,687993554007;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221327,0061;1274,49303157837;587,757686679464;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221339,7109;1283,68900156971;598,628170469795;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221353,6386;1369,38112460767;731,783204401207;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221368,2866;1400,98862254476;783,30683120313;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221382,614;1401,20436554326;789,289480022727;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221394,3731;1408,68010434135;804,317999994549;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221410,591;1412,57840267712;815,638204707492;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221426,6092;1411,422883816;819,415053515081;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221439,2645;1409,53907537485;820,557481913666;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221471,7829;1402,78542752674;815,771808427444;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221484,0935;1401,01398289279;810,646626308714;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221500,6275;1399,64990313965;800,243797818089;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221515,1266;1412,5132870688;807,687004656329;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221528,2001;1411,16973030733;807,68888528289;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221546,3108;1412,72769095703;810,057695091582;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221561,4002;1415,12548979264;811,02549781294;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221573,2699;1416,43215738709;812,389515625162;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221591,7755;1420,80153173264;814,926475568541;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
5221619,9913;1423,63763816809;814,668824951395;1e492759-8413-401e-aa94-3159801aea94;FixationCross_0;4;0
