Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Student_scrambled;4;26;41224;False;24aed847-17a0-4cf8-98e5-700acd0e937f
1;SignChecker;4;positive null;38183;False;24aed847-17a0-4cf8-98e5-700acd0e937f
2;Vehicle;4;10;42915;False;24aed847-17a0-4cf8-98e5-700acd0e937f
3;Rectangle;4;10025;53535;False;24aed847-17a0-4cf8-98e5-700acd0e937f
4;InsertSort_scrambled;4;7543;219293;False;24aed847-17a0-4cf8-98e5-700acd0e937f
5;CheckIfLettersOnly;4;Yes;58359;False;24aed847-17a0-4cf8-98e5-700acd0e937f
6;Calculation;4;12;34123;False;24aed847-17a0-4cf8-98e5-700acd0e937f
7;Street_scrambled;4;15;19104;False;24aed847-17a0-4cf8-98e5-700acd0e937f
8;MoneyClass;4;1,4;21447;False;24aed847-17a0-4cf8-98e5-700acd0e937f
9;SumArray;4;23;21684;False;24aed847-17a0-4cf8-98e5-700acd0e937f

