Time;Gaze.X;GazeY;SubjectID;Snippet;Indentation;TrialNumber
1137934167,9054;1540,78058420725;1103,00562851617;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934184,4309;1539,97922864789;1094,04428732575;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934200,6479;1534,71620772136;1070,01545090416;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934214,5348;1533,70717659661;1065,10716635015;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934228,4537;1540,06409901304;1065,12217432266;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934259,7753;1533,95159424316;1068,82232340797;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934272,8039;1540,57127833538;1063,05135911957;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934288,2455;1543,31579481719;1062,38132949117;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934302,8262;1534,0849189472;1068,29892907405;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934318,2849;1542,55524154819;1077,72548968579;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934333,1007;1535,82874197636;1063,78379585937;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934348,012;1515,06971745816;1051,21496350856;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934362,7437;1426,12755991526;863,75138405208;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934377,5002;1369,13536880447;722,063091996935;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934408,4845;1347,5944528094;681,96611595022;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934422,7719;1339,97900658001;663,967920703296;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934437,5426;1333,58229729057;687,950707075507;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934452,5323;1316,66820346853;675,953716238035;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934467,9919;1316,78983257859;687,536400697863;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934482,886;1331,59183716032;708,75674879541;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934497,7838;1323,88862421085;697,979701225135;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934518,4178;1319,9888769716;693,278546168038;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934532,1729;1345,70399501194;750,752656240598;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934577,1613;1335,52132243539;725,396300479006;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934592,7502;1364,54954074388;837,282632797559;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934607,605;1360,43556595865;826,311916220468;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934621,9987;1365,80112286534;832,495449262223;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934638,0293;1364,65967763509;828,991565050965;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934653,7723;1371,96334193659;830,302521479116;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934667,2426;1377,28846299418;834,451833591206;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
1137934683,2719;1392,40880619163;849,460489689725;e3829974-423f-488a-b5b4-0f0eaebc1700;FixationCross_0;4;0
