Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Vehicle_scrambled;4;10;126743;False;7a9c6069-665e-4206-aa1c-6d94e711b665
1;MoneyClass;4;1,40;52030;False;7a9c6069-665e-4206-aa1c-6d94e711b665
2;Student_scrambled;4;25;83282;False;7a9c6069-665e-4206-aa1c-6d94e711b665
3;CheckIfLettersOnly_scrambled;4;No;146774;False;7a9c6069-665e-4206-aa1c-6d94e711b665
4;InsertSort;4;3457;279737;False;7a9c6069-665e-4206-aa1c-6d94e711b665
5;Calculation;4;8;69219;False;7a9c6069-665e-4206-aa1c-6d94e711b665
6;Street;4;15;40374;False;7a9c6069-665e-4206-aa1c-6d94e711b665
7;Rectangle;4;10025;72870;False;7a9c6069-665e-4206-aa1c-6d94e711b665
8;SumArray;4;23;54803;False;7a9c6069-665e-4206-aa1c-6d94e711b665
9;SignChecker;4;positive null;70406;False;7a9c6069-665e-4206-aa1c-6d94e711b665

